user_id,month,subscription_type,region,usage_time,transactions,churn_flag
u_0,2023-09-01,monthly,US,17.95335433106713,1,0
u_0,2023-10-01,monthly,US,4.864515335302437,0,1
u_1,2024-05-01,trial,EU,2.49220081038286,0,1
u_2,2024-05-01,monthly,EU,4.109075092358955,5,0
u_2,2024-06-01,monthly,EU,14.197124550424059,2,0
u_3,2023-09-01,monthly,US,3.534345249203133,4,0
u_3,2023-10-01,monthly,US,9.680932716005685,4,0
u_3,2023-11-01,monthly,US,7.509665318951766,4,0
u_3,2023-12-01,monthly,US,3.367746036296226,5,0
u_3,2024-01-01,monthly,US,14.052964964076594,2,0
u_3,2024-02-01,monthly,US,5.42133431043635,0,1
u_4,2023-11-01,annual,US,3.5524256997793024,0,0
u_4,2023-12-01,annual,US,8.917819234291871,1,0
u_4,2024-01-01,annual,US,17.0172190256862,2,0
u_4,2024-02-01,annual,US,12.25712394595543,1,0
u_4,2024-03-01,annual,US,2.4668297737670057,2,0
u_4,2024-04-01,annual,US,7.948581612834218,1,0
u_4,2024-05-01,annual,US,8.157623538172588,3,0
u_4,2024-06-01,annual,US,1.349941135303931,3,0
u_5,2024-02-01,monthly,US,3.8970208331517493,1,1
u_6,2023-06-01,monthly,US,6.4228414923842285,3,0
u_6,2023-07-01,monthly,US,14.811496214489747,1,0
u_6,2023-08-01,monthly,US,4.856148262521977,2,1
u_7,2024-06-01,monthly,US,14.245514768587766,0,0
u_8,2023-05-01,monthly,EU,2.93896270924943,2,0
u_8,2023-06-01,monthly,EU,7.840734329796088,2,0
u_8,2023-07-01,monthly,EU,15.647990928599008,0,0
u_8,2023-08-01,monthly,EU,2.987579921194234,0,0
u_8,2023-09-01,monthly,EU,3.409314405826395,1,0
u_8,2023-10-01,monthly,EU,12.557408745831559,0,0
u_8,2023-11-01,monthly,EU,3.628587661954462,3,1
u_9,2024-04-01,annual,US,4.980219283376877,4,0
u_9,2024-05-01,annual,US,2.7630640099242156,0,1
u_10,2023-03-01,monthly,EU,5.139351147000281,2,0
u_10,2023-04-01,monthly,EU,5.784958199205059,2,0
u_10,2023-05-01,monthly,EU,8.785844248806239,3,0
u_10,2023-06-01,monthly,EU,6.815204450618736,1,0
u_10,2023-07-01,monthly,EU,4.21049701798348,1,0
u_10,2023-08-01,monthly,EU,7.066734254981817,1,0
u_10,2023-09-01,monthly,EU,7.903539560390862,2,0
u_10,2023-10-01,monthly,EU,9.535743319232449,1,0
u_10,2023-11-01,monthly,EU,1.1921298464141712,2,0
u_10,2023-12-01,monthly,EU,1.5886101662753496,0,1
u_11,2023-03-01,monthly,EU,8.611850202227519,4,0
u_11,2023-04-01,monthly,EU,1.6114656691140838,3,1
u_12,2023-04-01,trial,EU,5.79816598609381,4,0
u_12,2023-05-01,trial,EU,8.075484308301036,2,0
u_12,2023-06-01,trial,EU,7.128707403204975,1,0
u_12,2023-07-01,trial,EU,13.737986983015094,2,0
u_12,2023-08-01,trial,EU,1.322097654202221,0,1
u_13,2024-02-01,monthly,US,1.7809495477563175,2,1
u_14,2024-05-01,monthly,US,10.705222776931247,1,0
u_14,2024-06-01,monthly,US,9.440198746774403,0,0
u_15,2023-11-01,monthly,US,4.738110489361253,2,0
u_15,2023-12-01,monthly,US,9.364807134964096,2,0
u_15,2024-01-01,monthly,US,13.350833163817768,4,0
u_15,2024-02-01,monthly,US,12.249433716439393,1,0
u_15,2024-03-01,monthly,US,6.427181410832079,1,1
u_16,2023-11-01,trial,US,6.361510345595492,1,0
u_16,2023-12-01,trial,US,1.2561222797350604,1,1
u_17,2024-01-01,monthly,EU,11.615522954515386,3,0
u_17,2024-02-01,monthly,EU,6.605008933267923,1,0
u_17,2024-03-01,monthly,EU,14.780644600982361,0,1
u_18,2024-05-01,monthly,US,4.8913672701415525,1,1
u_19,2023-02-01,monthly,US,2.5386561665481864,3,0
u_19,2023-03-01,monthly,US,15.583064451909818,1,0
u_19,2023-04-01,monthly,US,10.7223553267793,1,0
u_19,2023-05-01,monthly,US,20.01006411502633,2,0
u_19,2023-06-01,monthly,US,4.472178378007297,2,0
u_19,2023-07-01,monthly,US,15.131749046387919,0,0
u_19,2023-08-01,monthly,US,7.191259331948308,2,0
u_19,2023-09-01,monthly,US,11.94162151806829,0,0
u_19,2023-10-01,monthly,US,5.229789571878921,2,0
u_19,2023-11-01,monthly,US,3.5622038621254726,3,0
u_19,2023-12-01,monthly,US,8.238532024375353,4,0
u_19,2024-01-01,monthly,US,7.68985639937,1,0
u_19,2024-02-01,monthly,US,6.876304792649247,5,0
u_19,2024-03-01,monthly,US,2.780144733961193,2,1
u_20,2023-04-01,monthly,EU,16.951106878598896,1,0
u_20,2023-05-01,monthly,EU,3.4212505407277343,5,0
u_20,2023-06-01,monthly,EU,7.32883303662395,0,0
u_20,2023-07-01,monthly,EU,9.007600328033012,2,0
u_20,2023-08-01,monthly,EU,8.978698947909443,1,0
u_20,2023-09-01,monthly,EU,4.742395623574868,1,0
u_20,2023-10-01,monthly,EU,4.933908376555506,3,0
u_20,2023-11-01,monthly,EU,17.20933234900505,4,0
u_20,2023-12-01,monthly,EU,11.26909467551038,4,0
u_20,2024-01-01,monthly,EU,8.330716975841732,0,0
u_20,2024-02-01,monthly,EU,6.151836692444198,4,0
u_20,2024-03-01,monthly,EU,7.594803360382916,1,0
u_20,2024-04-01,monthly,EU,8.908505854857031,0,0
u_20,2024-05-01,monthly,EU,5.147796327061492,0,0
u_20,2024-06-01,monthly,EU,6.145703556367639,0,1
u_21,2024-06-01,monthly,US,6.972557333879215,1,0
u_22,2023-11-01,monthly,US,1.530534709100022,1,0
u_22,2023-12-01,monthly,US,10.631198124054224,2,1
